deposit_the_first,age,gender,label
52125,38,Both,Yes-Peoples Bank
15169,32,Both,Yes-Peoples Bank
86125,25,Both,Yes-Peoples Bank
68865,37,Both,Yes-Peoples Bank
60284,36,Both,Yes-Peoples Bank
19504,45,Both,Yes-Peoples Bank
68944,42,Both,Yes-Peoples Bank
44343,45,Both,Yes-Peoples Bank
77487,44,Both,Yes-Peoples Bank
39220,19,Both,Yes-Peoples Bank
89765,24,Both,Yes-Peoples Bank
45905,33,Both,Yes-Peoples Bank
72974,22,Both,Yes-Peoples Bank
89869,29,Both,Yes-Peoples Bank
69641,24,Both,Yes-Peoples Bank
58785,29,Both,Yes-Peoples Bank
46939,29,Both,Yes-Peoples Bank
45584,26,Both,Yes-Peoples Bank
51869,49,Both,Yes-Peoples Bank
40043,31,Both,Yes-Peoples Bank
55151,47,Both,Yes-Peoples Bank
16967,44,Both,Yes-Peoples Bank
47949,42,Both,Yes-Peoples Bank
6673,50,Both,Yes-Peoples Bank
64125,46,Both,Yes-Peoples Bank
27180,28,Both,Yes-Peoples Bank
7681,34,Both,Yes-Peoples Bank
84058,39,Both,Yes-Peoples Bank
25309,20,Both,Yes-Peoples Bank
82369,34,Both,Yes-Peoples Bank
22752,37,Both,Yes-Peoples Bank
90251,45,Both,Yes-Peoples Bank
8080,25,Both,Yes-Peoples Bank
70327,23,Both,Yes-Peoples Bank
28208,20,Both,Yes-Peoples Bank
9115,49,Both,Yes-Peoples Bank
78325,24,Both,Yes-Peoples Bank
65342,34,Both,Yes-Peoples Bank
64244,27,Both,Yes-Peoples Bank
16531,20,Both,Yes-Peoples Bank
5496,18,Both,Yes-Peoples Bank
40740,36,Both,Yes-Peoples Bank
24031,28,Both,Yes-Peoples Bank
52397,23,Both,Yes-Peoples Bank
77370,40,Both,Yes-Peoples Bank
14719,44,Both,Yes-Peoples Bank
63527,34,Both,Yes-Peoples Bank
48823,34,Both,Yes-Peoples Bank
30905,50,Both,Yes-Peoples Bank
38909,30,Both,Yes-Peoples Bank
48423,22,Both,Yes-Peoples Bank
49137,34,Both,Yes-Peoples Bank
66439,33,Both,Yes-Peoples Bank
44632,32,Both,Yes-Peoples Bank
95213,43,Both,Yes-Peoples Bank
44600,26,Both,Yes-Peoples Bank
87949,21,Both,Yes-Peoples Bank
82042,20,Both,Yes-Peoples Bank
63081,45,Both,Yes-Peoples Bank
61780,41,Both,Yes-Peoples Bank
47390,50,Both,Yes-Peoples Bank
61230,18,Both,Yes-Peoples Bank
4881,38,Both,Yes-Peoples Bank
11658,38,Both,Yes-Peoples Bank
41212,43,Both,Yes-Peoples Bank
84226,48,Both,Yes-Peoples Bank
69085,22,Both,Yes-Peoples Bank
41469,49,Both,Yes-Peoples Bank
77288,42,Both,Yes-Peoples Bank
5757,23,Both,Yes-Peoples Bank
71928,43,Both,Yes-Peoples Bank
55869,30,Both,Yes-Peoples Bank
60533,42,Both,Yes-Peoples Bank
14751,44,Both,Yes-Peoples Bank
56236,47,Both,Yes-Peoples Bank
31112,24,Both,Yes-Peoples Bank
6489,26,Both,Yes-Peoples Bank
54026,40,Both,Yes-Peoples Bank
3573,20,Both,Yes-Peoples Bank
92671,29,Both,Yes-Peoples Bank
54506,44,Both,Yes-Peoples Bank
64912,49,Both,Yes-Peoples Bank
74038,26,Both,Yes-Peoples Bank
41100,19,Both,Yes-Peoples Bank
95453,47,Both,Yes-Peoples Bank
28734,46,Both,Yes-Peoples Bank
75673,24,Both,Yes-Peoples Bank
9785,25,Both,Yes-Peoples Bank
19313,34,Both,Yes-Peoples Bank
9146,27,Both,Yes-Peoples Bank
19537,30,Both,Yes-Peoples Bank
38544,49,Both,Yes-Peoples Bank
18514,48,Both,Yes-Peoples Bank
61222,35,Both,Yes-Peoples Bank
66187,26,Both,Yes-Peoples Bank
66064,31,Both,Yes-Peoples Bank
16949,39,Both,Yes-Peoples Bank
55413,20,Both,Yes-Peoples Bank
3676,36,Both,Yes-Peoples Bank
84695,24,Both,Yes-Peoples Bank
62880,48,Both,Yes-Peoples Bank
13325,31,Both,Yes-Peoples Bank
17852,46,Both,Yes-Peoples Bank
72872,29,Both,Yes-Peoples Bank
72278,49,Both,Yes-Peoples Bank
29737,50,Both,Yes-Peoples Bank
16353,50,Both,Yes-Peoples Bank
65573,43,Both,Yes-Peoples Bank
93583,27,Both,Yes-Peoples Bank
62456,43,Both,Yes-Peoples Bank
83216,27,Both,Yes-Peoples Bank
73139,37,Both,Yes-Peoples Bank
4684,18,Both,Yes-Peoples Bank
17804,50,Both,Yes-Peoples Bank
15450,26,Both,Yes-Peoples Bank
53893,47,Both,Yes-Peoples Bank
36497,19,Both,Yes-Peoples Bank
98013,26,Both,Yes-Peoples Bank
94985,46,Both,Yes-Peoples Bank
20195,29,Both,Yes-Peoples Bank
6920,18,Both,Yes-Peoples Bank
94206,48,Both,Yes-Peoples Bank
91379,19,Both,Yes-Peoples Bank
76853,26,Both,Yes-Peoples Bank
